Hood Number	Floor	Wing	Lab	SliderP1	SashP1	SliderP2	SashP2	Slider1	Sash1	Comment1	Slider2	Sash2	Comment2	Slider3	Sash3	Comment3	Slider4	Sash4	Comment4	Slider5	Sash5	Comment5	Slider6	Sash6	Comment6	Slider7	Sash7	Comment7	Slider8	Sash8	Comment8	Slider9	Sash9	Comment9
625	1	C	Bowman	17.75	1.2	24.5	0	1.25	0		0	0		12	0		0.75	0		0	0		0	0		NA	NA		28	0		0.25	0	
626	1	C	Bowman	1	0	0	0	2.5	0		0	0		0	0		22	0		0	0	In Use	14	0		NA	NA		0	2		0	0	
627	1	C	Bowman	26.25	0.5	24	0.5	1	0		20	0		0.5	0.5		1	0		0	0	In Use	0.5	0		NA	NA		0	0		0	0	In Use
628	1	C	Bowman	11.25	4.5	0	1.5	0.5	0		1	0		1.5	6		6.5	0		0	0		1	0		NA	NA		0	0		1.25	0.75	
621	1	C	Goodwin	0	0	0.5	0	0.25	0		0	0		2.75	0		0	0		0	0		0	0		NA	NA		0	0		0	0	
622	1	C	Goodwin	0	0	0	0	1.5	0		1	0		1.75	0		12	0		0	0		0	0		NA	NA		0	0		0	0	
623	1	C	Goodwin	0	0.5	0	0	0	0		0	0		0	0		0	0		0	0		0	0		NA	NA		0	0		0	0	
624	1	C	Goodwin	4.5	0.4	0	0	2	0		0	0		1.75	0		0	0		0	0		0	0		NA	NA		0	0		0	0	
640	1	C	Bowman and Tan	0	0	0	0	0	0	Obstructed	6	0		0	0		0	0		0	0		NA	NA	Locked/Inaccessible	NA	NA		0	0		0	0	
641	1	C	Bowman and Tan	0	0	0	0	1.5	0.5		0	0		0.75	0		3.25	0		0.75	0		1	0		NA	NA		0.5	0		0.25	0.5	
642	1	C	Bowman and Tan	0	0	0	0	4	1		0	0		0	0		0	0		0	1		0.5	1.5		NA	NA		0	0		1.25	0	
639	1	C	Bowman and Tan	3.75	0	0	0	0	0.75		0	0		0	0		0	0		0	0		NA	NA	Locked/Inaccessible	NA	NA		0	0		0	0.25	
629	1	C	Bowman and Tan	29.25	0.8	20	0	0	0.25		15.2	0		0	0		19	1.5		0	0	In Use	0	0		NA	NA		0	0		0	0	In Use
630	1	C	Bowman and Tan	3.25	0.5	11	0	0.25	0.25		0	0		0	1		0	0		0	0		0	0		NA	NA		2	0		0	0.5	
631	1	C	Bowman and Tan	3.25	0	0	0	1.25	0.75		1.5	0		0	0		0	0		0	0		0	0		NA	NA		0	0		0.5	0	
632	1	C	Bowman and Tan	26.5	1.5	12	2	0.75	1		1.75	0		0.75	0		3	0		2.5	0		2	0		NA	NA		0.5	0		0.75	0	
633	1	C	Bowman and Tan	25	0	0	0	0	0	In Use	0	0	In Use	0	0		0.5	0		0	0		0	0		NA	NA		0.5	0		0.25	0	
634	1	C	Bowman and Tan	27	0.3	13	0	0	0	In Use	0	0	In Use	0	0		0	0		0.5	0		3.5	0		NA	NA		1	0		0	0.25	
635	1	C	Bowman and Tan	29	0	2	2	1.25	0.75		2	0		0	0	In Use	0	0	In Use	1.5	0		1	0		NA	NA		4	0		1.5	0	
636	1	C	Bowman and Tan	26.75	0	0.5	0	1.75	0		2	0		14.75	0		0	0		0	0		0	0		NA	NA		1	0		11.75	0	
609	1	D	Marder	0	3	5	2	27.75	2		0	0		25.75	2		18	2		0	1		0	1.5		0	1		0	2.5		1.75	0	
610	1	D	Marder	20	4.1	0	4	26.5	3.5		0	4		27.75	3.5		20.5	4		0	0	In Use	0	2		0	0	In Use	0	3		2.25	0	
611	1	D	Marder	1	4.5	3	3	20	2.25		0	0		3.25	4		3.5	3		0	4		0	3		1	3.5		0	3		2.25	2.25	
612	1	D	Marder	0	1.5	0.5	2	0	13.25		0	0		3	2		3	2		1	3		0	2.5		1	3		2	2		2.25	1.75	
613	1	D	Medlin	26.5	0.5	28	1	26.75	0.5		0	0.5		0.5	1		1	0		0	1		12	0		17	0.5		0	0	In Use	6	0.5	
614	1	D	Medlin	27.25	1.5	27	1	0.25	0.5		8	1.5		10	1		1	1		0	1		28	0		25	0.5		0	0		0.25	1	
603	1	D	Fox Group	0	0	4.4	0	1	0		0	0		0.75	0		1	0		0	0		0	0		0	0		0	0		0.5	0	
604	1	D	Fox Group	0	0	0	0	0.25	0		0	0		0	0		0	0		0	0	In Use	0	0		0	0		0	0		0	0	
618	1	D	Medlin	28.75	0.25	0	0	27.75	0.5		2	6		26.5	1	In Use	2.5	2		0	0		27	0		0	0	In Use	0.5	0		1	0.25	
620	1	D	Medlin	34.25	0	0	0	23	0		16.75	0		1.5	0		1.5	0		0	1		40	0		2	0		0	0		1.25	0	
615	1	D	Medlin	0	0	0	0	0	1.25		17.25	0		11.75	0		5	0		0	1		3	0		0	0	In Use	5	0		3	0.25	
616	1	D	Medlin	1	0	0	0	2	0.5		3.5	0		2.75	0.5		11.5	0		1.5	0		1	0		0.75	0		0.5	0		0	0.25	
617	1	D	Medlin	11	0	23	0	0	1		1.25	0		13.25	0		1.5	0		0	0	In Use	3	0		4	0		7	0		3.25	0	
619	1	D	Medlin	28	0.5	27	1.5	0.25	0.25		12.25	0		0.5	0.5		2.5	0		0	0.5		1	0		6	0.75		0	0	In Use	0.25	0.5	
