ID	Type	Lab	Tickets
625	Hood	Bowman	6
626	Hood	Bowman	5
627	Hood	Bowman	7
628	Hood	Bowman	8
621	Hood	Goodwin	8
622	Hood	Goodwin	7
623	Hood	Goodwin	8
624	Hood	Goodwin	8
640	Hood	Bowman and Tan	7
641	Hood	Bowman and Tan	8
642	Hood	Bowman and Tan	7
639	Hood	Bowman and Tan	7
629	Hood	Bowman and Tan	6
630	Hood	Bowman and Tan	8
631	Hood	Bowman and Tan	7
632	Hood	Bowman and Tan	7
633	Hood	Bowman and Tan	6
634	Hood	Bowman and Tan	6
635	Hood	Bowman and Tan	7
636	Hood	Bowman and Tan	7
609	Hood	Marder	5
610	Hood	Marder	4
611	Hood	Marder	6
612	Hood	Marder	6
613	Hood	Medlin	5
614	Hood	Medlin	5
603	Hood	Fox Group	9
604	Hood	Fox Group	9
618	Hood	Medlin	7
620	Hood	Medlin	6
615	Hood	Medlin	5
616	Hood	Medlin	9
617	Hood	Medlin	5
619	Hood	Medlin	6
605	Hood	Chatterjee	0
606	Hood	Chatterjee	1
607	Hood	Chatterjee	2
608	Hood	Chatterjee	1
715	Hood	Aydin/Kasinath	7
724	Hood	Mass Spectrometry	9
725	Hood	Cha	6
731	Hood	Cha/Shields	6
732	Hood	Marder/Barlow	4
733	Hood	Marder/Barlow	5
734	Hood	Marder/Barlow	4
735	Hood	Marder/Barlow/Weimer	3
736	Hood	Marder/Barlow/Weimer	4
737	Hood	Marder/Barlow/Weimer	0
726	Hood	Schwartz D.	2
727	Hood	Schwartz D.	3
740	Hood	Marder/Barlow	4
742	Hood	Marder/Barlow/Weiner	9
743	Hood	Marder/Barlow/Weiner	2
739	Hood	Marder/Barlow	8
741	Hood	Marder/Barlow	5
738	Hood	Marder/Barlow/Weiner	8
744	Hood	Marder/Barlow	3
954	Hood	Hayward	2
953	Hood	Hayward	4
956	Hood	Hayward	3
955	Hood	Hayward	4
958	Hood	Hayward	7
957	Hood	Hayward	7
966	Hood	White	5
965	Hood	White	6
